item_type_id;item_category_id;item_type_name;item_type_expired_time;item_package_status;item_unit_1;item_quantity_default_1;item_weight_1;item_unit_2;item_quantity_default_2;item_weight_2;item_unit_3;item_quantity_default_3;item_weight_3;purchase_account_id;purchase_return_account_id;purchase_discount_account_id;sales_account_id;sales_return_account_id;sales_discount_account_id;inv_account_id;inv_return_account_id;inv_discount_account_id;hpp_account_id;hpp_amount;data_state;created_id;created_at;updated_at;dump
1;1;1 MPA PSI              ( BU LUSI );0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;DUS/PCS
2;1;12PC DOUBLE OPEN END WRENCH SET ( GAAA1206 );0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
3;1;2.5 MPA PSI              ( BU LUSI );0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;DUS/PCS
4;1;3M 4100 SUPER POLISH;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
5;1;3M 5100 MERAH;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
6;1;AFN77675988 ( KARET MEMBRAN REGULATOR NEPPLE ) COUPLING PIPA                KARET MEMBRAN REGULATOR NEPPLE (COUPLING CPL W-PVC/SST FOR NIPPLE PIPE-22 LAYING/FLOOR);0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
7;1;AIR COUPLING NRV 90605-4426                                AIR COUPLING NRV 90605-4426;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
8;1;"ALVA LAVAL LKLA-T NC 8MM 25-63,5";0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS/DUS
9;1;ALVA LAVAL SERVICE KIT CPMI-2/CPMO-2                  SERVICE KIT ALFALAVAL CPMO-2;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS/DUS
10;1;ALVA LAVAL SERVICE KIT EPDM SRC/SMO C/O 51/NW50   SEAL KIT ALVALAVAL ISO 51/TO;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
11;1;ALVA LAVAL SERVICE KIT EPDM UNIQUE 51-DN50 PLUG SET-UP 12;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS/DUS
12;1;AMETEK ITALIA 230-50/60 CL.155                  MOTOR VACCUM CLEANER TYPE 1 STAGE THERMOPROTECTED MERK ECOSPITAL;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
13;1;ANDERSON NEGELE PANJANG NVS-143/500/M/X/XI;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;
14;1;ANDERSON-NEGELE NCS-L-11/50/PNP/M12            LEVEL SENSOR NEGELE NCS-L-11/PNP;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
15;1;ANGLE SEAT DN40 PN25 L4408;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;UN
16;1;ANGLE SEAT GLOBE VALVE DN40 GEMU    ANGLE SEAT GLOBE VALVE DN40 GEMU;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
17;1;ANGLE VALVE BURKERT 1415  ( BURKERT ANGLE SEAT VALVE "W71MA" DN40 )            BURKERT ANGLE SEAT VALVE "W71MA" DN40;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
18;1;ARITA 107 CF8 1.5 BUTTERFLY VALVE CI CF8 SS410 CONNECTION UNIVERSAL FLANGE;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
19;1;ARMATHEM PRESSURE GAUGE EN837-1;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
20;1;ARMATHERM 100MM 1/2" NPT;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS/DUS
21;1;ARMATHERM 63MM 1/4" NPT;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS/DUS
22;1;"ARMATHERM VGA-121-76GM VACUUM GAUGE 2,5IN     ARMATHERM VGA-121-76GM VACUUM GAUGE 2,5IN";0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
23;1;ARV DN65 CF8 025;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
24;1;AT-70 (KERUCUT BESI);0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
25;1;AVENTICS 0820 055 502             UNI VALVE 5/2 80106167      atau       BI VALVE 5/2 80106168;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
26;1;AVENTICS MNR : R414002401 ECOLEAN     ECOLEAN E/P PRESSURE REGULATOR 80106-162;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
27;1;AVENTICS REXROTH 0820 055 052                                           UNI VALVE 5/2 80106167      atau       BI VALVE 5/2 80106168;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
28;1;BALL KEY WRENCH SET TOPTUL 9PCS LONG ( GAAL0916 );0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
29;1;BALL VALVE 1/2";0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
30;1;BALL VALVE 3/4";0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
31;1;BALL VALVE SANKYO 2IN          BALL VALVE SANKYO 2IN;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
32;1;BAUT BESAR;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
33;1;BELT FASTENERS CLIPPER 12-12"/300MM STRIPES G005A-SS-300W           STEEL BELT LACING 35N SUS304 100X1200MM;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;1 BOX = 6 PSG
34;1;BENANG JAHIT UNICORN 20/6 BIRU            BENANG JAHIT UNICORN 20/6 BIRU;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;1 DUZ = 100 PC
35;1;BESI L BERBAGAI UKURAN 4 TOPTUL SNCM+V;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
36;1;BESI LONJONG;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
37;1;BOLA KECIL ORANGE;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
38;1;BORGOL BESAR CLAMP;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
39;1;BORGOL KECIL CLAMP;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
40;1;BOX PANEL OPTIONAL UK 30X20X15                         BOX PANEL OPTIONAL UK 30X20X15;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
41;1;BRACKET PNEUMATIC AL #32X32X44;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
42;1;BRIDGESTON SELANG BLENDER DOUBLE 1/4IN                                     BRIDGESTON SELANG BLENDER DOUBLE 1/4IN;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;M
43;1;BULB HID MHE-150 E27 KRIS 150W 4000K (LAMPU);0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
44;1;BURKERT;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
45;1;BURKET 2000 B 25.0 PTFE VA DN25 PN16;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
46;1;BURKET FLOW 2000 A 20.0 PTFE VA 316L DN20 PN25;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
47;1;BURKET FLOW 2000 B 15.0 PTFE VA 316L DN15 PN25;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
48;1;BURKET FLUID CONTROL SYSTEMS DN 10;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
49;1;BY5 PROD - FOAMER CUCI PRODUK SNOW WASH         FOAMER CUCI PRODUK/MOBILE FOAMER;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
50;1;BY-5/THERMOCOUPLE RETORT 8CD      THERMOCOUPLE RETORT 8CD;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PCS
51;1;CAMOZZI M004-R00 + PRESSURE GAUGE          CAMOZZI M004-R00 + PRESSURE GAUGE;0;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;PC
