item_unit_id;item_unit_code;item_unit_name;item_unit_default_quantity;item_unit_remark;data_state;created_id;created_at;updated_at
1;(1 BOX=12 PC);(1 BOX=12 PC);0;(1 BOX=12 PC);0;3;0000-00-00 00:00:00;0000-00-00 00:00:00
2;(1 BX= 10 PC);(1 BX= 10 PC);0;(1 BX= 10 PC);0;3;0000-00-00 00:00:00;2023-08-05 21:45:16
3;1 BOX = 6 PSG;1 BOX = 6 PSG;0;1 BOX = 6 PSG;0;3;0000-00-00 00:00:00;2023-08-05 21:45:28
4;1 DUZ = 100 PC;1 DUZ = 100 PC;0;1 DUZ = 100 PC;0;74;0000-00-00 00:00:00;0000-00-00 00:00:00
5;1 DUZ=30 ROLL;1 DUZ=30 ROLL;0;1 DUZ=30 ROLL;0;75;0000-00-00 00:00:00;0000-00-00 00:00:00
6;1 PACK/PC;1 PACK/PC;0;1 PACK/PC;0;75;0000-00-00 00:00:00;0000-00-00 00:00:00
7;"2,8DUS (1 DUS=10PCS";"2,8DUS (1 DUS=10PCS";0;"2,8DUS (1 DUS=10PCS";0;;;2023-08-05 09:47:21
8;BOX/PCS;BOX/PCS;0;BOX/PCS;0;75;2023-08-05 21:44:24;2023-08-05 21:44:24
9;DUS;DUS;0;DUS;0;75;2023-08-08 04:43:11;2023-08-08 05:03:15
10;DUS/PCS;DUS/PCS;0;DUS/PCS;0;75;2023-08-08 04:44:19;2023-08-08 05:03:25
11;HRG PER MTR;HRG PER MTR;0;HRG PER MTR;0;75;2023-10-19 08:45:54;2024-04-24 08:25:34
12;M;M;0;M;0;75;2023-10-19 08:46:10;2024-04-24 08:25:39
21;PACK;PACK;0;PACK;0;3;2024-01-15 06:38:14;2024-01-15 06:38:14
22;PC;PC;0;PC;0;75;2024-06-11 07:52:46;2024-06-11 07:52:46
23;PCS;PCS;0;PCS;0;75;2024-06-11 07:54:19;2024-06-11 07:54:19
24;PCS/DUS;PCS/DUS;0;PCS/DUS;0;75;2024-06-11 07:54:38;2024-06-11 07:54:38
25;PSG;PSG;0;PSG;0;75;2024-06-11 07:56:24;2024-06-11 07:56:24
26;ROLL;ROLL;0;ROLL;0;75;2024-06-11 07:56:44;2024-06-11 07:56:44
27;SHT;SHT;0;SHT;0;75;2024-06-11 07:59:16;2024-06-11 07:59:16
28;TUB/PCS;TUB/PCS;0;TUB/PCS;0;75;2024-06-11 08:00:45;2024-06-11 08:00:45
29;UN;UN;0;UN;0;75;2024-06-11 08:02:46;2024-06-11 08:02:46
30;UN = 3PC;UN = 3PC;0;UN = 3PC;0;75;2024-06-11 08:05:47;2024-06-11 08:05:47
31;tidak ada;tidak ada;0;tidak ada;0;75;2024-06-11 08:06:49;2024-06-11 08:06:49
